year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,degree_cleaned,is_honours,field_of_study
2013,NTU,"College of Humanities, Arts & Social Sciences",Chinese,85.1,80.5,2818,2800,2924,3000,2600,3300,chinese,0,Arts and Humanities
2013,NTU,"College of Humanities, Arts & Social Sciences",Communication Studies,89.4,79.6,2893,2930,2956,3000,2700,3250,communication studies,0,Arts and Humanities
2013,NTU,"College of Humanities, Arts & Social Sciences",Economics,89.9,83.5,3085,3000,3148,3000,2800,3545,economics,0,Mathematics and Statistics
2013,NTU,"College of Humanities, Arts & Social Sciences",English,82.7,67.3,3087,3000,3179,3100,2800,3400,english,0,Arts and Humanities
2013,NTU,"College of Humanities, Arts & Social Sciences",Linguistics,90.6,81.3,2691,2600,2725,2625,2475,3018,linguistics,0,Arts and Humanities
2013,NTU,"College of Humanities, Arts & Social Sciences",Psychology,82.4,71.8,3007,3000,3061,3000,2750,3255,psychology,0,Social Sciences
2013,NTU,"College of Humanities, Arts & Social Sciences",Sociology,74.4,55.8,2980,3000,3082,3100,2800,3310,sociology,0,Social Sciences
2013,NTU,College of Sciences,Biomedical Sciences **,,,,,,,,,biomedical sciences,0,Medicine and Health Sciences
2013,NTU,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,90.7,88.4,2840,2800,2883,2807,2700,3000,biomedical sciences (traditional chinese medicine),0,Medicine and Health Sciences
2013,NTU,College of Sciences,Biological Sciences,78.6,68.1,2881,2900,3002,3000,2700,3250,biological sciences,0,Science
2013,NTU,College of Sciences,Chemistry & Biological Chemistry,79.8,68.9,2993,3000,3083,3100,2800,3400,chemistry & biological chemistry,0,Science
2013,NTU,College of Sciences,Mathematics & Economics **,,,,,,,,,mathematics & economics,0,Mathematics and Statistics
2013,NTU,College of Sciences,Mathematical Science,86,83.7,3169,3000,3262,3000,2750,3500,mathematical science,0,Science
2013,NTU,College of Sciences,Physics / Applied Physics,80.8,69.2,3164,3000,3208,3300,2900,3400,physics / applied physics,0,Science
2013,NTU,College of Sciences,Sports Science,68.2,59.1,2968,3000,2985,3000,2700,3400,sports science,0,Science
2013,NTU,National Institute of Education (NIE),Science (with Education),100,100,3377,3400,3478,3498,3300,3800,science (with education),0,Education
2013,NTU,National Institute of Education (NIE),Arts (with Education),100,100,3413,3426,3506,3498,3400,3575,arts (with education),0,Education
2013,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts,84.8,70.1,2741,2730,2888,2800,2500,3080,bachelor of arts,0,Arts and Humanities
2013,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),86.6,74.6,3057,3200,3154,3200,2800,3500,bachelor of arts,1,Arts and Humanities
2013,NUS,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.1,76.8,3098,3100,3210,3200,2800,3500,bachelor of social sciences,0,Science
2013,NUS,NUS Business School,Bachelor of Business Administration,88.7,81.7,2960,2868,3062,3000,2700,3370,bachelor of business administration,0,Business and Management
2013,NUS,NUS Business School,Bachelor of Business Administration (Hons),94.6,90.3,3404,3050,3512,3200,2800,3800,bachelor of business administration,1,Business and Management
2013,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),93.3,88.9,2740,2700,2922,2700,2700,3018,bachelor of business administration (accountancy),0,Business and Management
2013,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),97.2,94.4,3065,2800,3143,2800,2700,3200,bachelor of business administration (accountancy),1,Business and Management
2013,NUS,School of Computing,Bachelor of Computing (Communications and Media),88.9,77.8,3350,3000,3377,3050,2825,3425,bachelor of computing (communications and media),0,Arts and Humanities
2013,NUS,School of Computing,Bachelor of Computing (Computational Biology) **,,,,,,,,,bachelor of computing (computational biology),0,Computer Science and IT
2013,NUS,School of Computing,Bachelor of Computing (Computer Engineering) **,,,,,,,,,bachelor of computing (computer engineering),0,Engineering
2013,NUS,School of Computing,Bachelor of Computing (Computer Science),92.4,83.3,3933,3400,3953,3425,3000,4000,bachelor of computing (computer science),0,Computer Science and IT
2013,NUS,School of Computing,Bachelor of Computing (Electronic Commerce),88.9,83.3,3277,3050,3320,3080,2800,3553,bachelor of computing (electronic commerce),0,Computer Science and IT
2014,NTU,College of Engineering,Aerospace Engineering,84.6,82.7,3715,3700,3911,3770,3300,4070,aerospace engineering,0,Engineering
2013,NUS,School of Computing,Bachelor of Computing (Information Systems),89.2,83.9,3266,3000,3322,3005,3000,3800,bachelor of computing (information systems),0,Computer Science and IT
2013,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4106,4000,4106,4000,4000,4400,bachelor of dental surgery,0,Medicine and Health Sciences
2013,NUS,School of Design & Environment,Bachelor of Arts (Architecture) ** #,,,,,,,,,bachelor of arts (architecture),0,Others
2013,NUS,School of Design & Environment,Bachelor of Arts (Industrial Design),82.1,53.6,3007,2650,3023,2650,2400,3000,bachelor of arts (industrial design),0,Design and Media
2013,NUS,School of Design & Environment,Bachelor of Science (Project and Facilities Management),96.8,96.8,2961,2980,3025,3000,2800,3200,bachelor of science (project and facilities management),0,Business and Management
2013,NUS,School of Design & Environment,Bachelor of Science (Real Estate),89.2,89.2,2839,2800,2988,2900,2600,3179,bachelor of science (real estate),0,Science
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Bioengineering),74,60,2823,3000,3068,3000,2720,3250,bachelor of engineering (bioengineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),93.2,90,3245,3000,3359,3175,3000,3644,bachelor of engineering (chemical engineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),96.1,94.1,3140,3000,3154,3050,3000,3300,bachelor of engineering (civil engineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),88.9,85.6,3592,3200,3653,3200,3000,3970,bachelor of engineering (computer engineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),88.5,88,3286,3100,3334,3200,3000,3600,bachelor of engineering (electrical engineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Engineering Science),86.2,75.9,2940,3000,2960,3000,2800,3150,bachelor of engineering (engineering science),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),93.8,87.5,3153,3100,3208,3110,3000,3500,bachelor of engineering (environmental engineering),0,Science
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),93.9,92.4,3330,3200,3397,3200,3000,3800,bachelor of engineering (industrial and systems engineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),90.9,87.9,3036,3000,3169,3000,3000,3260,bachelor of engineering (materials science and engineering),0,Engineering
2013,NUS,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),89.1,87.2,3155,3000,3319,3225,3000,3500,bachelor of engineering (mechanical engineering),0,Engineering
2013,NUS,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,98.8,98.2,4922,4800,5099,5000,4500,5800,bachelor of laws (llb),1,Law
2013,NUS,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS) #,100,100,4406,4500,4741,4500,4500,5200,bachelor of medicine and bachelor of surgery (mbbs),0,Medicine and Health Sciences
2013,NUS,YLL School of Medicine,Bachelor of Science (Nursing),97.5,97.5,2687,2750,2886,2950,2700,3050,bachelor of science (nursing),0,Science
2013,NUS,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,2896,3000,3042,3025,3000,3200,bachelor of science (nursing),1,Science
2013,NUS,Yong Siew Toh Conservatory of Music,Bachelor of Music **,,,,,,,,,bachelor of music,0,Others
2013,NUS,Faculty of Science,Bachelor of Applied Science **,,,,,,,,,bachelor of applied science,0,Science
2013,NUS,Faculty of Science,Bachelor of Applied Science (Hons),97.3,97.3,2850,2750,2925,2900,2600,3255,bachelor of applied science,1,Science
2013,NUS,Faculty of Science,Bachelor of Science,80.9,65.1,2726,2700,2804,2800,2600,3000,bachelor of science,0,Science
2013,NUS,Faculty of Science,Bachelor of Science (Hons),83.6,74,3101,3000,3217,3100,2868,3500,bachelor of science,1,Science
2013,NUS,Faculty of Science,Bachelor of Science (Computational Biology) **,,,,,,,,,bachelor of science (computational biology),0,Science
2013,NUS,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,96.4,96.4,3473,3500,3540,3500,3350,3750,bachelor of science (pharmacy),1,Medicine and Health Sciences
2013,SMU,School of Accountancy (4-year programme) *,Accountancy,94.2,93.2,3231,2800,3342,2825,2700,3430,accountancy,0,Business and Management
2013,SMU,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,95.2,95.2,3580,2900,3634,3000,2700,3750,accountancy cum laude and above,0,Business and Management
2013,SMU,School of Business (4-year programme) *,Business Management,93.2,87.3,3344,3000,3520,3200,2800,3750,business management,0,Business and Management
2013,SMU,School of Business (4-year programme) *,Business Management Cum Laude and above,95.9,93.8,3825,3500,3975,3580,3000,4100,business management cum laude and above,0,Business and Management
2013,SMU,School of Economics (4-year programme) *,Economics (4-years programme),90.6,88.6,3389,3200,3513,3339,3000,3800,economics,0,Mathematics and Statistics
2013,SMU,School of Economics (4-year programme) *,Economics (4-years programme) Cum Laude and above,94,94,3731,3500,3820,3600,3250,4000,economics  cum laude and above,0,Mathematics and Statistics
2013,SMU,School of Information Systems (4-year programme) *,Information Systems Management (4-years programme),93.6,89.5,3389,3300,3468,3300,3000,3800,information systems management,0,Computer Science and IT
2013,SMU,School of Information Systems (4-year programme) *,Information Systems Management (4-years programme) Cum Laude and above,100,90.9,3786,3725,3862,3800,3500,4000,information systems management  cum laude and above,0,Computer Science and IT
2013,SMU,School of Social Sciences (4-year programme) *,Social Sciences (4-years programme),86.5,79.8,3122,3000,3150,3000,2600,3320,social sciences,0,Science
2013,SMU,School of Social Sciences (4-year programme) *,Social Sciences (4-years programme) Cum Laude and above,87.5,83.3,3251,3200,3267,3200,2800,3781,social sciences  cum laude and above,0,Science
2013,SMU,School of Law (4-year programme) *,Law (4-years programme) #,100,100,5023,4800,5246,5000,4500,6000,law,0,Law
2013,SMU,School of Law (4-year programme) *,Law (4-years programme) Cum Laude and above #,100,100,5329,5000,5617,5547,4750,6400,law  cum laude and above,0,Law
2014,NTU,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),98.2,95.6,3539,3300,3597,3300,2900,4000,bachelor of accountancy,1,Business and Management
2014,NTU,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),96.6,96.1,2981,2800,3003,2840,2700,3000,bachelor of accountancy,1,Business and Management
2014,NTU,College of Business (Nanyang Business School),Bachelor of Business (Hons),89.6,80.2,3231,3000,3318,3100,2800,3600,bachelor of business,1,Business and Management
2014,NTU,College of Business (Nanyang Business School),Bachelor of Business (Hons),92.9,89.3,3398,3400,3431,3450,3232,4000,bachelor of business,1,Business and Management
2014,NTU,College of Engineering,Bioengineering,79.8,69.7,2998,3000,3188,3000,2825,3400,bioengineering,0,Engineering
2014,NTU,College of Engineering,Chemical,83.8,76.1,3296,3250,3415,3400,3200,3575,chemical,0,Engineering
2014,NTU,College of Engineering,Computer Engineering,91.4,88.8,3423,3300,3512,3400,3200,3800,computer engineering,0,Engineering
2014,NTU,College of Engineering,Civil Engineering,93.8,92.9,3122,3000,3152,3100,3000,3300,civil engineering,0,Engineering
2014,NTU,College of Engineering,Computer Science,94.5,93.7,3269,3200,3304,3200,3000,3700,computer science,0,Computer Science and IT
2014,NTU,College of Engineering,Electrical,90.7,88.4,3241,3175,3336,3200,3000,3500,electrical,0,Engineering
2014,NTU,College of Engineering,Environmental Engineering,88.9,82.2,3121,3000,3111,3000,3000,3500,environmental engineering,0,Science
2014,NTU,College of Engineering,Information Engineering,85.7,73.2,3185,3000,3318,3200,3000,3600,information engineering,0,Engineering
2014,NTU,College of Engineering,Materials Engineering,82.5,77.7,3145,3000,3261,3150,3000,3410,materials engineering,0,Engineering
2014,NTU,College of Engineering,Mechanical Engineering,90.2,87.8,3161,3000,3289,3100,3000,3500,mechanical engineering,0,Engineering
2014,NTU,College of Engineering,Maritime Studies,92.5,92.5,3163,3050,3206,3050,3000,3500,maritime studies,0,Engineering
2014,NTU,"College of Humanities, Arts & Social Sciences","Art, Design & Media",80,68,2761,2600,2791,2700,2300,3000,"art, design & media",0,Design and Media
2014,NTU,"College of Humanities, Arts & Social Sciences",Chinese,86.8,75.8,2927,3000,3006,3000,2700,3300,chinese,0,Arts and Humanities
2014,NTU,"College of Humanities, Arts & Social Sciences",Communication Studies,86.7,77.9,2891,2800,2976,3000,2600,3294,communication studies,0,Arts and Humanities
2014,NTU,"College of Humanities, Arts & Social Sciences",Economics,88.7,78.4,3183,3075,3222,3200,3000,3500,economics,0,Mathematics and Statistics
2014,NTU,"College of Humanities, Arts & Social Sciences",English,87,63,3137,3000,3432,3100,2800,3990,english,0,Arts and Humanities
2014,NTU,"College of Humanities, Arts & Social Sciences",Linguistics,85.7,66.7,3066,3000,3148,3230,2800,3500,linguistics,0,Arts and Humanities
2014,NTU,"College of Humanities, Arts & Social Sciences",Psychology,66.7,54.9,3197,3100,3228,3100,2800,3500,psychology,0,Social Sciences
2014,NTU,"College of Humanities, Arts & Social Sciences",Sociology,73.2,67.9,3002,3000,3143,3100,2800,3260,sociology,0,Social Sciences
2014,NTU,College of Sciences,Biomedical Science **,,,,,,,,,biomedical science,0,Science
2014,NTU,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,100,100,2974,2900,3018,2900,2786,3400,biomedical science (traditional chinese medicine),0,Science
2014,NTU,College of Sciences,Biological Sciences,75.1,60.8,3083,3000,3174,3000,2800,3400,biological sciences,0,Science
2014,NTU,College of Sciences,Chemistry & Biological Chemistry,80.5,68.3,3006,3000,3321,3100,2800,3400,chemistry & biological chemistry,0,Science
2014,NTU,College of Sciences,Mathematics & Economics,88.4,87,3155,3200,3142,3200,2800,3500,mathematics & economics,0,Mathematics and Statistics
2014,NTU,College of Sciences,Mathematical Science,91.3,79.7,3022,3000,3078,3200,2800,3300,mathematical science,0,Science
2014,NTU,College of Sciences,Physics / Applied Physics,73.7,63.2,3034,3000,3241,3100,2800,3560,physics / applied physics,0,Science
2014,NTU,College of Sciences,Sports Science,87.9,69.7,3076,2800,3229,3000,2700,3590,sports science,0,Science
2014,NTU,National Institute of Education (NIE),Science (with Education),100,100,3358,3400,3475,3475,3400,3750,science (with education),0,Education
2014,NTU,National Institute of Education (NIE),Arts (with Education),100,100,3388,3400,3536,3475,3400,3700,arts (with education),0,Education
2014,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts,81.9,65.3,2719,2750,2883,2800,2500,3010,bachelor of arts,0,Arts and Humanities
2014,NUS,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),83.1,76.6,3141,3210,3277,3300,3000,3600,bachelor of arts,1,Arts and Humanities
2014,NUS,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.7,80.1,3192,3200,3304,3250,3000,3600,bachelor of social sciences,0,Science
2014,NUS,NUS Business School,Bachelor of Business Administration,87.9,83.6,3234,3000,3367,3000,2800,3300,bachelor of business administration,0,Business and Management
2014,NUS,NUS Business School,Bachelor of Business Administration (Hons),94.4,90.6,3979,3500,4090,3520,3200,4300,bachelor of business administration,1,Business and Management
2014,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),93.9,89.8,2836,2800,2989,2838,2700,3000,bachelor of business administration (accountancy),0,Business and Management
2014,NUS,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),100,96.3,3350,2850,3407,2912,2800,3614,bachelor of business administration (accountancy),1,Business and Management
2014,NUS,School of Computing,Bachelor of Computing (Communications and Media),82.1,82.1,3107,3000,3129,3088,2900,3300,bachelor of computing (communications and media),0,Arts and Humanities
2014,NUS,School of Computing,Bachelor of Computing (Computational Biology) **,,,,,,,,,bachelor of computing (computational biology),0,Computer Science and IT
2014,NUS,School of Computing,Bachelor of Computing (Computer Engineering) **,,,,,,,,,bachelor of computing (computer engineering),0,Engineering
2014,NUS,School of Computing,Bachelor of Computing (Computer Science),90.6,85.9,3729,3500,3712,3500,3300,4000,bachelor of computing (computer science),0,Computer Science and IT
2014,NUS,School of Computing,Bachelor of Computing (Electronic Commerce),85.7,85.7,3183,3000,3386,3200,3000,3500,bachelor of computing (electronic commerce),0,Computer Science and IT
2014,NUS,School of Computing,Bachelor of Computing (Information Systems),95.5,92,3684,3352,3789,3500,3100,4039,bachelor of computing (information systems),0,Computer Science and IT
2014,NUS,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4054,4000,4054,4000,4000,4020,bachelor of dental surgery,0,Medicine and Health Sciences
2014,NUS,School of Design & Environment,Bachelor of Arts (Architecture) #,98.4,95.2,4290,4200,4400,4275,4000,4750,bachelor of arts (architecture),0,Others
2014,NUS,School of Design & Environment,Bachelor of Arts (Industrial Design),77.3,59.1,2600,2550,2603,2565,2200,3000,bachelor of arts (industrial design),0,Design and Media
2014,NUS,School of Design & Environment,Bachelor of Science (Project and Facilities Management),95.3,94.1,3089,3000,3181,3000,2900,3360,bachelor of science (project and facilities management),0,Business and Management
2014,NUS,School of Design & Environment,Bachelor of Science (Real Estate),93.1,89.2,2931,2950,3108,3000,2750,3300,bachelor of science (real estate),0,Science
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering) ^^,87.5,77.1,2966,3000,3058,3000,2700,3300,bachelor of engineering (biomedical engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),83.9,76.4,3277,3200,3434,3300,3000,3650,bachelor of engineering (chemical engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),97.1,97.1,3212,3200,3281,3208,3000,3500,bachelor of engineering (civil engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),95.2,92.4,3674,3500,3762,3500,3200,4080,bachelor of engineering (computer engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),90.6,88.1,3306,3200,3571,3300,3000,3800,bachelor of engineering (electrical engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Engineering Science),81.3,62.5,3375,3300,3465,3400,3275,3790,bachelor of engineering (engineering science),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),95.2,92.9,3250,3200,3215,3230,3000,3422,bachelor of engineering (environmental engineering),0,Science
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),96.5,96.5,3591,3350,3719,3600,3200,4000,bachelor of engineering (industrial and systems engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),78.6,73.8,3054,3100,3350,3300,3000,3600,bachelor of engineering (materials science and engineering),0,Engineering
2014,NUS,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),90,88.5,3160,3100,3323,3200,3000,3500,bachelor of engineering (mechanical engineering),0,Engineering
2014,NUS,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,98.2,97.6,5027,5000,5247,5150,4800,5800,bachelor of laws (llb),1,Law
2014,NUS,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,100,100,4404,4500,4886,5000,4500,5200,bachelor of medicine and bachelor of surgery,0,Medicine and Health Sciences
2014,NUS,YLL School of Medicine,Bachelor of Science (Nursing),100,95.6,2976,3000,3188,3200,3050,3386,bachelor of science (nursing),0,Science
2014,NUS,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),100,100,3123,3270,3353,3500,3270,3600,bachelor of science (nursing),1,Science
2014,NUS,Yong Siew Toh Conservatory of Music,Bachelor of Music **,,,,,,,,,bachelor of music,0,Others
2014,NUS,Faculty of Science,Bachelor of Applied Science **,,,,,,,,,bachelor of applied science,0,Science
2014,NUS,Faculty of Science,Bachelor of Applied Science (Hons),95.5,81.8,2760,2750,2831,2800,2600,3000,bachelor of applied science,1,Science
2014,NUS,Faculty of Science,Bachelor of Science,76.8,61.4,2804,2800,2973,3000,2700,3200,bachelor of science,0,Science
2014,NUS,Faculty of Science,Bachelor of Science (Hons),86.6,75.8,3224,3200,3328,3210,2950,3600,bachelor of science,1,Science
2014,NUS,Faculty of Science,Bachelor of Science (Computational Biology) **,,,,,,,,,bachelor of science (computational biology),0,Science
2014,NUS,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,98.9,96.7,3467,3500,3670,3630,3470,4000,bachelor of science (pharmacy),1,Medicine and Health Sciences
2014,SMU,School of Accountancy (4-year programme) *,Accountancy,93.6,91.4,3375,2850,3420,2875,2722,3614,accountancy,0,Business and Management
2014,SMU,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,97.4,96.1,3871,3450,3903,3500,2875,4300,accountancy cum laude and above,0,Business and Management
2014,SMU,School of Business (4-year programme) *,Business Management,90.9,86.4,3630,3250,3752,3333,3000,4000,business management,0,Business and Management
2014,SMU,School of Business (4-year programme) *,Business Management Cum Laude and above,94.5,94,4019,3500,4116,3600,3200,4500,business management cum laude and above,0,Business and Management
2014,SMU,School of Economics (4-year programme) *,Economics (4-year programme),90.2,83.9,3525,3500,3645,3500,3175,4000,economics,0,Mathematics and Statistics
2014,SMU,School of Economics (4-year programme) *,Economics (4-year programme) Cum Laude and above,90.6,89.1,3815,3800,3824,3800,3300,4350,economics  cum laude and above,0,Mathematics and Statistics
2014,SMU,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme),92.9,80.6,3431,3225,3530,3350,3000,4000,information systems management,0,Computer Science and IT
2014,SMU,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme) Cum Laude and above,97.4,84.2,4057,4000,4151,4050,3500,4540,information systems management  cum laude and above,0,Computer Science and IT
2014,SMU,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme),90.9,84.1,2981,3000,3166,3000,2800,3580,social sciences,0,Science
2014,SMU,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme) Cum Laude and above,87.5,81.3,3331,3215,3545,3590,3000,3955,social sciences  cum laude and above,0,Science
2014,SMU,School of Law (4-year programme) *,Law (4-year programme) #,97.8,95.6,4932,4800,5332,5025,4600,5950,law,0,Law
2014,SMU,School of Law (4-year programme) *,Law (4-year programme) Cum Laude and above #,97.7,97.7,5089,4900,5571,5800,4800,6000,law  cum laude and above,0,Law
2014,SIT,DigiPen Institute of Technology,Bachelor of Arts in Game Design,100,86.7,2490,2700,2490,2700,2575,2800,bachelor of arts in game design,0,Design and Media
2014,SIT,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,90.6,84.4,2586,2600,2603,2600,2300,2885,bachelor of fine arts in digital arts & animation,0,Design and Media
2014,SIT,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,100,100,2932,2875,2955,2975,2800,3075,bachelor of science in computer science & game design,0,Design and Media
2014,SIT,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,100,100,2859,3000,2910,3000,2700,3300,bachelor of science in computer science in real-time interactive simulation,0,Computer Science and IT
2014,SIT,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,89.1,78.3,2547,2500,2595,2500,2400,2800,bachelor of arts with in communication design,1,Design and Media
2014,SIT,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,93.9,90.9,2553,2500,2583,2500,2373,2800,bachelor of arts with in interior design,1,Design and Media
2014,SIT,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,90.1,84.5,3041,3000,3325,3300,3000,3650,bachelor of engineering with in chemical engineering,1,Engineering
2014,SIT,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,92.6,88.9,3208,3100,3334,3260,3003,3594,bachelor of engineering with in marine engineering,1,Engineering
2014,SIT,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,97.1,85.7,3196,3000,3273,3100,3000,3338,bachelor of engineering with in mechanical design & manufacturing engineering,1,Engineering
2014,SIT,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,100,94.1,3293,3355,3467,3500,3233,3675,bachelor of engineering with in naval architecture,1,Others
2014,SIT,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,91.3,91.3,3311,3200,3467,3300,3075,3625,bachelor of engineering with in offshore engineering,1,Engineering
2014,SIT,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,75,61.4,2806,2750,2854,2800,2500,3170,bachelor of science with in food & human nutrition,1,Science
2014,SIT,Technische Universität München,Bachelor of Science in Chemical Engineering,86.7,86.7,2954,2900,3285,3200,2950,3755,bachelor of science in chemical engineering,0,Engineering
2014,SIT,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,85.7,82.1,3072,2900,3141,3000,2800,3480,bachelor of science in electrical engineering & information technology,0,Engineering
2014,SIT,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,89.3,89.3,2430,2400,2503,2500,2200,2600,bachelor of professional studies in culinary arts management,0,Business and Management
2014,SIT,Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3127,3100,3151,3100,3000,3338,bachelor in science (occupational therapy),0,Medicine and Health Sciences
